MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,2ndFlrSF,FullBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageArea,PoolArea,SaleCondition,SalePrice
90,RL,10791,Inside,Duplex,5,1967,1967,MetalSd,0.0,0.0,0,2,2,2,0,516.0,0,Normal,90000.0
20,RL,13695,Inside,1Fam,5,2004,2004,VinylSd,0.0,1114.0,0,1,3,1,0,576.0,0,Normal,159000.0
20,RL,7560,Inside,1Fam,6,1958,1965,BrkFace,0.0,1029.0,0,1,3,1,0,294.0,0,Abnorml,139000.0
60,RL,14215,Corner,1Fam,5,2005,2006,VinylSd,0.0,1158.0,1218,3,4,1,1,853.0,0,Partial,325300.0
45,RM,7449,Inside,1Fam,7,1930,1950,Wd Sdng,0.0,637.0,0,1,3,1,1,280.0,0,Normal,139400.0
20,RL,9742,Inside,1Fam,5,2002,2002,VinylSd,0.0,1777.0,0,2,3,1,1,534.0,0,Normal,230000.0
120,RM,4224,Inside,TwnhsE,7,1976,1976,CemntBd,0.0,1040.0,0,1,3,1,1,572.0,0,Normal,129900.0
20,RL,8246,Inside,1Fam,8,1968,2001,Plywood,668.0,1060.0,0,1,3,1,1,270.0,0,Normal,154000.0
20,RL,14230,Corner,1Fam,5,2007,2007,VinylSd,0.0,1566.0,0,2,3,1,1,890.0,0,Normal,256300.0
20,RL,7200,Corner,1Fam,7,1951,2000,Wd Sdng,486.0,900.0,0,1,3,1,0,576.0,0,Normal,134800.0
20,RL,11478,Inside,1Fam,5,2007,2008,VinylSd,0.0,1704.0,0,2,3,1,1,772.0,0,Normal,306000.0
20,RL,16321,CulDSac,1Fam,6,1957,1997,MetalSd,0.0,1484.0,0,1,2,1,2,319.0,0,Normal,207500.0
30,RM,6324,Inside,1Fam,6,1927,1950,MetalSd,0.0,520.0,0,1,1,1,0,240.0,0,Normal,68500.0
70,C (all),8500,Inside,1Fam,4,1920,1950,BrkFace,0.0,649.0,668,1,3,1,0,250.0,0,Normal,40000.0
20,RL,8544,CulDSac,1Fam,6,1966,2006,HdBoard,0.0,1228.0,0,1,3,1,0,271.0,0,Normal,149350.0
20,RL,11049,Corner,1Fam,5,2007,2007,VinylSd,0.0,1234.0,0,2,3,1,0,484.0,0,Normal,179900.0
20,RL,10552,Inside,1Fam,5,1959,1959,BrkFace,0.0,1398.0,0,1,4,1,1,447.0,0,Normal,165500.0
120,RL,7313,Inside,TwnhsE,5,2005,2005,MetalSd,0.0,1561.0,0,2,2,1,1,556.0,0,Normal,277500.0
60,RL,13418,Inside,1Fam,5,2004,2005,VinylSd,0.0,1117.0,1320,3,4,1,1,691.0,0,Normal,309000.0
20,RL,10859,Corner,1Fam,5,1994,1995,VinylSd,0.0,1097.0,0,1,3,1,0,672.0,0,Normal,145000.0
20,RL,8532,Inside,1Fam,6,1954,1990,Wd Sdng,0.0,1297.0,0,1,3,1,1,498.0,0,Normal,153000.0
20,RL,7922,Inside,1Fam,7,1953,2007,VinylSd,0.0,1057.0,0,1,3,1,0,246.0,0,Abnorml,109000.0
90,RL,6040,Inside,Duplex,5,1955,1955,AsbShng,0.0,0.0,0,2,2,2,0,0.0,0,AdjLand,82000.0
20,RL,8658,Inside,1Fam,5,1965,1965,Wd Sdng,0.0,1088.0,0,2,3,1,1,440.0,0,Abnorml,160000.0
20,RL,16905,Inside,1Fam,6,1959,1959,VinylSd,0.0,1350.0,0,1,2,1,2,308.0,0,Normal,170000.0
85,RL,9180,CulDSac,1Fam,7,1983,1983,HdBoard,93.0,840.0,0,1,2,1,0,504.0,0,Normal,144000.0
20,RL,9200,CulDSac,1Fam,6,1975,1980,VinylSd,491.0,938.0,0,1,3,1,0,308.0,0,Normal,130250.0
20,RL,7945,Inside,1Fam,6,1959,1959,BrkFace,506.0,1150.0,0,1,3,1,0,300.0,0,Normal,141000.0
120,RL,7658,Inside,TwnhsE,5,2005,2005,MetalSd,0.0,1752.0,0,2,2,1,1,576.0,0,Normal,319900.0
50,RL,12822,CulDSac,1Fam,5,2003,2003,VinylSd,0.0,1434.0,631,1,1,1,1,670.0,0,Abnorml,239686.0
20,FV,11096,Inside,1Fam,5,2006,2006,VinylSd,0.0,1656.0,0,2,3,1,0,826.0,0,Normal,249700.0
190,RM,4456,Inside,2fmCon,5,1920,2008,MetalSd,0.0,736.0,716,2,2,3,0,0.0,0,Partial,113000.0
20,RL,7742,Inside,1Fam,7,1966,1966,HdBoard,0.0,955.0,0,1,3,1,0,386.0,0,Normal,127000.0
60,RL,13869,Corner,1Fam,6,1997,1997,VinylSd,0.0,794.0,676,2,3,1,0,388.0,0,Normal,177000.0
50,RM,6240,Inside,1Fam,6,1934,1950,Wd Sdng,0.0,816.0,0,1,3,1,1,528.0,0,Normal,114500.0
90,RM,8472,Corner,Duplex,5,1963,1963,Wd Sdng,712.0,816.0,0,1,2,1,0,516.0,0,Normal,110000.0
20,RL,50271,Inside,1Fam,5,1981,1987,WdShing,0.0,1842.0,0,0,0,1,1,894.0,0,Normal,385000.0
80,RL,7134,Inside,1Fam,5,1955,1955,MetalSd,0.0,384.0,0,1,3,1,1,572.0,0,Normal,130000.0
20,RL,10175,Inside,1Fam,5,1964,1964,HdBoard,0.0,1425.0,0,2,3,1,1,576.0,0,Normal,180500.0
160,FV,2645,Inside,Twnhs,5,1999,2000,MetalSd,0.0,970.0,756,2,3,1,0,480.0,0,Abnorml,172500.0
60,RL,11645,Corner,1Fam,5,2004,2004,VinylSd,0.0,860.0,860,2,3,1,0,565.0,0,Normal,196500.0
60,RL,13682,CulDSac,1Fam,5,2006,2006,VinylSd,0.0,1410.0,1519,3,3,1,1,641.0,0,Partial,438780.0
20,RL,7200,Inside,1Fam,7,1972,1972,HdBoard,0.0,780.0,0,1,2,1,0,352.0,0,Normal,124900.0
20,RL,13072,Inside,1Fam,5,2004,2004,VinylSd,0.0,1158.0,0,1,3,1,0,576.0,0,Partial,158000.0
75,RM,7200,Inside,1Fam,7,1920,1996,MetalSd,0.0,530.0,530,1,3,1,0,288.0,0,Normal,101000.0
120,RL,6442,Inside,TwnhsE,5,2006,2006,VinylSd,0.0,1370.0,0,2,2,1,1,484.0,0,Normal,202500.0
70,RM,10300,Inside,1Fam,6,1921,1950,Stucco,0.0,576.0,808,2,3,1,0,480.0,0,Normal,140000.0
60,RL,9375,Inside,1Fam,5,1997,1998,VinylSd,0.0,1057.0,977,2,3,1,0,645.0,0,Normal,219500.0
60,RL,9591,Inside,1Fam,5,2004,2005,VinylSd,0.0,1143.0,1330,2,4,1,1,852.0,0,Normal,317000.0
20,RL,19900,Inside,1Fam,5,1970,1989,Plywood,0.0,1947.0,0,2,3,1,1,576.0,0,Normal,180000.0
20,RL,10665,Inside,1Fam,5,2003,2003,VinylSd,0.0,1453.0,0,2,3,1,0,558.0,0,Normal,226000.0
30,RM,4608,Corner,1Fam,6,1945,1950,MetalSd,0.0,747.0,0,1,2,1,0,220.0,0,Normal,80000.0
50,RL,15593,Corner,1Fam,4,1953,1953,BrkFace,0.0,1304.0,983,2,3,1,1,667.0,0,Normal,225000.0
20,RL,13651,Inside,1Fam,6,1973,1973,Plywood,0.0,2223.0,0,2,3,1,2,516.0,0,Normal,244000.0
20,RL,7599,Corner,1Fam,6,1982,2006,HdBoard,0.0,845.0,0,1,2,1,0,360.0,0,Normal,129500.0
60,RL,10141,Corner,1Fam,5,1998,1998,VinylSd,0.0,832.0,833,2,3,1,1,427.0,0,Normal,185000.0
20,RL,10200,Inside,1Fam,7,1954,2003,Wd Sdng,362.0,1086.0,0,1,3,1,0,490.0,0,Normal,144900.0
50,RM,5790,Corner,1Fam,6,1915,1950,VinylSd,0.0,840.0,765,2,3,2,0,379.0,0,Normal,107400.0
180,RM,1596,Inside,Twnhs,5,1973,1973,CemntBd,0.0,462.0,462,1,2,1,0,297.0,0,Normal,91000.0
20,RL,8475,Inside,1Fam,7,1956,1956,VinylSd,0.0,952.0,0,1,2,1,0,283.0,0,Normal,135750.0
50,RM,8635,Inside,1Fam,5,1948,2001,Wd Sdng,41.0,672.0,213,1,2,1,0,240.0,0,Normal,127000.0
90,RL,10778,Inside,Duplex,5,1968,1968,HdBoard,0.0,1768.0,0,2,4,2,0,0.0,0,Normal,136500.0
50,RM,10440,Corner,1Fam,6,1910,1981,Wd Sdng,0.0,440.0,548,1,2,1,0,440.0,0,Normal,110000.0
60,RL,13000,Corner,1Fam,6,1968,1968,VinylSd,0.0,896.0,960,2,4,1,1,509.0,0,Normal,193500.0
120,RM,4500,FR2,TwnhsE,5,1998,1998,VinylSd,0.0,1237.0,0,2,2,1,0,405.0,0,Normal,153500.0
20,RL,10206,Inside,1Fam,5,2007,2007,VinylSd,0.0,1563.0,0,2,3,1,1,758.0,0,Normal,245000.0
20,RL,8892,Inside,1Fam,5,1960,1960,MetalSd,0.0,1065.0,0,1,3,1,0,461.0,0,Normal,126500.0
80,RL,8530,Inside,1Fam,5,1995,1996,HdBoard,0.0,384.0,670,2,3,1,1,400.0,0,Normal,168500.0
60,RL,16059,Corner,1Fam,5,1991,1992,HdBoard,0.0,1288.0,1116,2,4,1,1,462.0,0,Normal,260000.0
60,RL,11911,Inside,1Fam,5,2005,2005,VinylSd,0.0,684.0,876,2,3,1,1,400.0,0,Normal,174000.0
160,FV,3951,Corner,TwnhsE,5,2009,2009,VinylSd,0.0,612.0,612,2,2,1,0,528.0,0,Partial,164500.0
50,C (all),8470,Corner,1Fam,2,1915,1982,Plywood,0.0,1013.0,0,1,2,1,0,0.0,0,Abnorml,85000.0
20,RL,8070,Inside,1Fam,5,1994,1995,VinylSd,0.0,990.0,0,1,3,1,0,0.0,0,Normal,123600.0
20,RL,7200,Inside,1Fam,5,1950,1950,BrkFace,0.0,0.0,0,1,2,1,0,420.0,0,Normal,109900.0
20,RL,8500,Inside,1Fam,3,1961,1961,HdBoard,0.0,1235.0,0,1,2,1,0,480.0,0,Abnorml,98600.0
30,RL,13360,Inside,1Fam,7,1921,2006,Wd Sdng,0.0,876.0,0,1,2,1,0,432.0,0,Normal,163500.0
190,C (all),7200,Corner,2fmCon,6,1910,1998,MetalSd,0.0,1214.0,1031,2,4,2,1,506.0,0,Normal,133900.0
60,RL,9337,Inside,1Fam,5,1997,1997,VinylSd,0.0,824.0,881,2,3,1,0,684.0,0,Normal,204750.0
60,RL,9765,Corner,1Fam,8,1993,1993,VinylSd,0.0,680.0,790,2,3,1,1,420.0,0,Normal,185000.0
20,RL,10264,Inside,1Fam,5,1999,1999,VinylSd,0.0,1588.0,0,2,3,1,0,472.0,0,Normal,214000.0
20,RL,10921,Inside,1Fam,5,1965,1965,HdBoard,0.0,960.0,0,1,3,1,0,432.0,0,Normal,94750.0
30,RL,10625,Corner,1Fam,5,1920,1950,Wd Sdng,0.0,458.0,0,1,2,1,0,366.0,0,Abnorml,83000.0
20,RL,9320,Inside,1Fam,5,1959,1959,Plywood,0.0,950.0,0,1,3,1,0,0.0,0,Normal,128950.0
20,RL,10603,Inside,1Fam,7,1977,2001,Plywood,0.0,1610.0,0,2,3,1,2,480.0,0,Normal,205000.0
60,RL,9206,Inside,1Fam,5,1985,1985,HdBoard,0.0,741.0,755,2,3,1,1,476.0,0,Normal,178000.0
90,RL,7018,Inside,Duplex,5,1979,1979,HdBoard,0.0,0.0,0,2,4,2,0,410.0,0,Alloca,118964.0
20,RL,10402,Corner,1Fam,5,2009,2009,VinylSd,0.0,1226.0,0,2,3,1,0,740.0,0,Normal,198900.0
50,RM,7758,Corner,1Fam,4,1931,1950,Stucco,0.0,1040.0,592,1,4,1,2,240.0,0,Normal,169500.0
60,FV,9375,Inside,1Fam,5,2003,2004,VinylSd,0.0,1053.0,939,2,3,1,1,648.0,0,Normal,250000.0
30,RM,10800,Inside,1Fam,7,1885,1995,VinylSd,0.0,641.0,0,1,2,1,0,273.0,0,Normal,100000.0
20,RM,6000,Inside,1Fam,5,1948,1950,VinylSd,169.0,789.0,0,1,2,1,0,250.0,0,Partial,115000.0
50,RM,8500,Corner,1Fam,7,1919,2005,CemntBd,0.0,793.0,520,2,3,1,0,0.0,0,Normal,115000.0
20,RL,11751,Inside,1Fam,6,1977,1977,Plywood,0.0,1844.0,0,2,3,1,1,546.0,0,Normal,190000.0
50,RL,9525,Inside,1Fam,4,1954,1972,Wd Sdng,0.0,994.0,639,2,4,1,0,325.0,0,Normal,136900.0
80,RL,7750,Inside,1Fam,5,2000,2000,VinylSd,0.0,384.0,656,2,3,1,1,400.0,0,Normal,180000.0
60,RL,9965,Inside,1Fam,5,2007,2007,VinylSd,0.0,1264.0,1414,2,4,1,1,792.0,0,Partial,383970.0
20,RL,21000,Corner,1Fam,5,1953,1953,Wd Sdng,869.0,1809.0,0,2,3,1,2,450.0,0,Abnorml,217000.0
70,RL,7259,Inside,1Fam,8,1945,2002,Wd Sdng,150.0,1028.0,884,2,3,1,1,180.0,0,Normal,259500.0
160,FV,3230,Corner,TwnhsE,5,1999,1999,MetalSd,0.0,729.0,729,2,2,1,1,440.0,0,Normal,176000.0
20,RL,11616,Inside,1Fam,5,1962,1962,Wd Sdng,670.0,1092.0,0,1,3,1,1,288.0,0,Normal,139000.0
20,RL,8536,Corner,1Fam,5,2006,2007,VinylSd,0.0,1125.0,0,1,2,1,0,430.0,0,Partial,155000.0
60,RL,12376,Corner,1Fam,5,1990,1990,Plywood,0.0,1673.0,1523,3,5,1,2,594.0,0,Normal,320000.0
60,RL,8461,Inside,1Fam,5,2005,2006,VinylSd,0.0,728.0,728,2,3,1,1,390.0,0,Partial,163990.0
80,RL,21453,CulDSac,1Fam,5,1969,1969,Plywood,0.0,938.0,0,1,1,1,2,540.0,0,Normal,180000.0
50,RM,6060,Inside,1Fam,5,1939,1950,AsbShng,0.0,732.0,351,1,3,1,0,264.0,0,Normal,100000.0
20,RL,9464,Corner,1Fam,7,1958,1958,MetalSd,0.0,1080.0,0,1,3,1,0,288.0,0,Normal,136000.0
120,RL,7892,Inside,TwnhsE,5,1993,1993,Plywood,0.0,1199.0,0,2,2,1,0,530.0,0,Normal,153900.0
20,RL,17043,CulDSac,1Fam,5,1979,1998,HdBoard,0.0,1362.0,0,2,3,1,1,435.0,0,Normal,181000.0
190,RM,6780,Inside,2fmCon,8,1935,1982,Wd Sdng,0.0,520.0,0,1,2,1,0,0.0,0,Normal,84500.0
120,RL,4928,Inside,TwnhsE,5,1976,1976,Plywood,0.0,1078.0,0,2,2,1,1,440.0,0,Normal,128000.0
45,RM,4388,Inside,1Fam,7,1930,1950,WdShing,0.0,672.0,0,1,3,1,1,0.0,0,Normal,87000.0
60,RL,7590,Inside,1Fam,5,1966,1966,VinylSd,0.0,660.0,688,1,3,1,1,453.0,0,Normal,155000.0
20,RL,8973,Inside,1Fam,7,1958,1991,Plywood,28.0,1008.0,0,1,3,1,0,750.0,0,Abnorml,150000.0
60,RL,14200,Corner,1Fam,6,1966,1966,MetalSd,0.0,924.0,941,2,4,1,2,487.0,0,Normal,226000.0
60,RL,12224,Corner,1Fam,5,2000,2000,VinylSd,0.0,992.0,1032,2,3,1,1,390.0,0,Normal,244000.0
20,RL,7388,Corner,1Fam,6,1959,2002,MetalSd,0.0,1063.0,0,1,3,1,0,624.0,0,Normal,150750.0
20,RL,6853,Inside,1Fam,5,2001,2002,VinylSd,0.0,1267.0,0,2,2,1,0,471.0,0,Normal,220000.0
20,RL,10335,Inside,1Fam,6,1968,1993,Plywood,0.0,1461.0,0,2,3,1,1,440.0,0,Normal,180000.0
20,RL,10400,Inside,1Fam,6,1970,1970,Plywood,0.0,1304.0,0,2,3,1,1,530.0,0,Normal,174000.0
20,RL,10355,Corner,1Fam,5,1967,1967,MetalSd,0.0,1214.0,0,2,3,1,1,318.0,0,Normal,143000.0
90,RL,11070,Inside,Duplex,5,1988,1989,VinylSd,0.0,1907.0,0,3,5,2,0,766.0,0,Family,171000.0
60,RL,9066,Inside,1Fam,5,1999,2000,VinylSd,0.0,1004.0,848,2,3,1,2,660.0,0,Normal,230000.0
60,RL,15426,Inside,1Fam,5,1997,1997,VinylSd,0.0,928.0,836,2,3,1,0,470.0,0,Normal,231500.0
20,RL,10500,FR2,1Fam,5,1971,1971,HdBoard,0.0,864.0,0,1,3,1,1,0.0,0,Normal,115000.0
20,RL,11645,Inside,1Fam,5,2005,2005,VinylSd,0.0,1734.0,0,2,3,1,0,660.0,0,Normal,260000.0
50,RL,8520,Corner,1Fam,4,1952,1952,BrkFace,0.0,910.0,475,2,4,1,0,720.0,0,Normal,166000.0
20,RL,10335,Inside,1Fam,5,1999,1999,VinylSd,0.0,1490.0,0,2,3,1,0,577.0,0,Normal,204000.0
90,RM,9100,Inside,Duplex,5,1963,1963,HdBoard,0.0,1728.0,0,2,6,2,0,504.0,0,Abnorml,125000.0
160,RM,2522,Inside,Twnhs,5,2004,2006,VinylSd,0.0,970.0,739,2,3,1,0,380.0,0,Normal,130000.0
30,RM,6120,Corner,1Fam,7,1931,1993,Wd Sdng,0.0,715.0,0,1,2,1,0,180.0,0,Normal,105000.0
60,RL,9505,CulDSac,1Fam,5,2001,2001,VinylSd,0.0,884.0,1151,2,3,1,1,434.0,0,Normal,222500.0
20,RL,7500,Inside,1Fam,5,2004,2005,VinylSd,0.0,1080.0,0,1,3,1,0,0.0,0,Normal,141000.0
50,RM,6240,Inside,1Fam,4,1936,1950,MetalSd,0.0,896.0,448,1,3,1,0,240.0,0,Normal,115000.0
20,RL,10356,Corner,1Fam,6,1975,1975,HdBoard,0.0,969.0,0,1,3,1,0,440.0,0,Normal,122000.0
20,RL,13891,Inside,1Fam,5,2007,2008,VinylSd,0.0,1710.0,0,2,2,1,1,866.0,0,Partial,372402.0
60,RL,14803,CulDSac,1Fam,5,1971,1971,HdBoard,0.0,825.0,896,2,4,1,1,495.0,0,Normal,190000.0
20,RL,13500,Inside,1Fam,7,1960,1975,BrkFace,1080.0,1602.0,0,1,1,1,1,564.0,0,Normal,235000.0
30,RM,11340,Corner,1Fam,5,1923,1950,Wd Sdng,0.0,1200.0,0,1,4,1,0,312.0,0,Family,125000.0
50,RL,9600,Corner,1Fam,5,1924,1950,Wd Sdng,0.0,572.0,524,1,2,1,0,0.0,0,Normal,79000.0
20,RL,7200,Inside,1Fam,7,1950,1950,Wd Sdng,0.0,0.0,0,1,2,1,0,625.0,0,Normal,109500.0
60,RL,12003,Corner,1Fam,5,2009,2010,VinylSd,0.0,774.0,1194,2,4,1,1,680.0,0,Partial,269500.0
60,FV,12552,Corner,1Fam,5,2004,2005,VinylSd,0.0,991.0,956,2,3,1,1,678.0,0,Normal,254900.0
60,RL,19378,Corner,1Fam,5,2005,2006,VinylSd,0.0,1392.0,1070,2,4,1,1,576.0,0,Partial,320000.0
20,RL,11120,CulDSac,1Fam,6,1984,1984,Plywood,0.0,1232.0,0,2,3,1,0,516.0,0,Normal,162500.0
60,RL,13688,Inside,1Fam,5,2003,2004,VinylSd,0.0,1572.0,1096,2,3,1,2,726.0,0,Normal,412500.0
20,RL,12182,Corner,1Fam,5,2005,2005,VinylSd,0.0,1541.0,0,2,3,1,1,532.0,0,Partial,220000.0
45,RL,5500,Inside,1Fam,6,1956,1956,MetalSd,0.0,882.0,0,1,1,1,0,0.0,0,Normal,103200.0
40,RM,5400,Corner,1Fam,7,1926,2004,MetalSd,0.0,1149.0,467,2,3,1,0,216.0,0,Normal,152000.0
190,RL,10106,Inside,2fmCon,7,1940,1999,Wd Sdng,181.0,644.0,547,2,4,2,0,0.0,0,Normal,127500.0
20,RL,10708,Inside,1Fam,5,1955,1993,Wd Sdng,768.0,1617.0,0,1,2,1,3,303.0,0,Normal,190000.0
60,RL,10562,Inside,1Fam,5,2007,2007,VinylSd,0.0,1582.0,551,1,3,1,1,789.0,0,Partial,325624.0
60,RL,8244,Inside,1Fam,5,2004,2004,VinylSd,0.0,840.0,880,2,3,1,1,440.0,0,Normal,183500.0
20,RL,16669,Corner,1Fam,6,1981,1981,Plywood,0.0,1686.0,0,2,2,1,1,511.0,0,Normal,228000.0
50,RM,12358,Inside,1Fam,6,1941,1950,MetalSd,0.0,720.0,0,1,2,1,0,660.0,0,Normal,128500.0
20,RL,31770,Corner,1Fam,5,1960,1960,BrkFace,0.0,1080.0,0,1,3,1,2,528.0,0,Normal,215000.0
160,RL,5306,Inside,TwnhsE,7,1987,1987,HdBoard,215.0,1064.0,703,2,2,1,1,504.0,0,Normal,239000.0
20,RL,10197,Inside,1Fam,5,1961,1961,WdShing,374.0,1362.0,0,1,3,1,1,504.0,0,Normal,163000.0
20,RL,12416,Inside,1Fam,5,1986,1986,VinylSd,208.0,1606.0,0,2,3,1,1,616.0,0,Normal,184000.0
20,RL,12615,Corner,1Fam,7,1950,2001,WdShing,0.0,1202.0,0,2,4,1,1,576.0,0,Normal,243000.0
60,RL,10029,Corner,1Fam,5,1988,1989,Plywood,0.0,1151.0,896,2,4,1,1,521.0,0,Normal,211000.0
50,RL,13650,Inside,1Fam,5,1958,1958,MetalSd,441.0,1052.0,668,2,4,1,1,451.0,0,Normal,172500.0
20,RL,17423,CulDSac,1Fam,5,2008,2009,VinylSd,0.0,2216.0,0,2,1,1,1,1166.0,0,Partial,501837.0
30,RM,8520,Inside,1Fam,6,1923,2006,Wd Sdng,0.0,968.0,0,1,2,1,0,480.0,0,Normal,100000.0
160,FV,2117,Inside,Twnhs,5,2000,2000,MetalSd,0.0,756.0,756,2,3,1,1,440.0,0,Normal,177000.0
70,RL,7588,Inside,1Fam,6,1920,1950,Stucco,0.0,793.0,901,1,4,1,1,216.0,0,Normal,200100.0
20,RL,9060,Inside,1Fam,6,1957,2006,Wd Sdng,0.0,0.0,0,1,3,1,1,252.0,0,Normal,120000.0
50,RM,11426,Inside,1Fam,5,2003,2003,VinylSd,0.0,1362.0,720,2,3,1,0,484.0,0,Normal,200000.0
50,RL,7438,Inside,1Fam,8,1908,1991,AsbShng,0.0,504.0,316,1,3,1,0,576.0,0,Normal,127000.0
75,RM,22950,Inside,1Fam,9,1892,1993,Wd Sdng,0.0,1107.0,1518,2,4,1,2,840.0,0,Normal,475000.0
80,RL,9947,CulDSac,1Fam,5,1990,1991,HdBoard,0.0,1188.0,0,2,3,1,0,497.0,0,Normal,173000.0
50,RL,10410,Inside,1Fam,7,1916,1987,HdBoard,0.0,660.0,704,2,3,1,0,180.0,0,Normal,135000.0
90,RL,7018,Inside,Duplex,5,1979,1979,Plywood,0.0,1086.0,0,0,2,2,2,528.0,0,Alloca,153337.0
120,RL,4923,Inside,TwnhsE,5,2001,2002,CemntBd,0.0,1593.0,0,1,0,1,1,682.0,0,Normal,286000.0
70,RL,10570,Inside,1Fam,8,1932,1994,BrkFace,0.0,853.0,1178,2,3,1,2,440.0,0,Normal,315000.0
60,RL,7472,CulDSac,1Fam,9,1972,2004,HdBoard,0.0,725.0,754,1,4,1,0,484.0,0,Normal,184000.0
20,RL,9017,Inside,1Fam,5,1999,1999,VinylSd,0.0,1431.0,0,2,3,1,0,666.0,0,Normal,192000.0
160,RM,2522,Inside,Twnhs,5,2004,2004,VinylSd,0.0,970.0,739,2,3,1,0,380.0,0,Normal,130000.0
20,RL,7180,Inside,1Fam,7,1972,1972,HdBoard,0.0,864.0,0,1,3,1,0,352.0,0,Normal,127000.0
160,RL,2280,FR2,Twnhs,6,1976,1976,Plywood,0.0,855.0,601,2,3,1,1,440.0,0,Normal,148500.0
20,RL,9416,Inside,1Fam,5,2007,2007,CemntBd,0.0,1726.0,0,2,3,1,1,786.0,0,Partial,311872.0
75,RL,25419,Corner,1Fam,4,1918,1990,Stucco,184.0,1360.0,1360,2,4,1,1,795.0,512,Abnorml,235000.0
75,RM,5520,Corner,1Fam,6,1912,1950,Wd Sdng,0.0,755.0,929,1,5,1,0,0.0,0,Abnorml,104000.0
20,RL,9591,Inside,1Fam,5,2004,2005,VinylSd,0.0,1713.0,0,2,3,1,1,856.0,0,Normal,274900.0
20,RM,8546,Corner,1Fam,5,2003,2004,VinylSd,0.0,1121.0,0,2,2,1,0,440.0,0,Normal,140000.0
20,RL,10125,Inside,1Fam,6,1977,1977,Plywood,279.0,1196.0,0,2,3,1,2,473.0,0,Normal,171500.0
50,RL,7000,Corner,1Fam,6,1924,1950,MetalSd,0.0,617.0,445,2,2,1,0,398.0,0,Normal,112000.0
120,RM,4438,Inside,TwnhsE,5,2004,2004,VinylSd,0.0,848.0,0,1,1,1,1,420.0,0,Normal,149000.0
50,RM,3500,Inside,1Fam,7,1947,1950,AsbShng,0.0,720.0,564,1,2,1,0,240.0,0,Normal,110000.0
20,RL,11851,Corner,1Fam,5,1990,1990,HdBoard,0.0,1424.0,0,2,3,1,0,500.0,0,Normal,180500.0
20,RL,13673,CulDSac,1Fam,5,1962,1962,HdBoard,0.0,1140.0,0,1,3,1,1,349.0,0,Normal,143900.0
20,RL,12493,Inside,1Fam,5,1960,1960,Wd Sdng,306.0,1100.0,0,1,3,1,1,312.0,0,Normal,141000.0
60,RL,14364,Inside,1Fam,5,1988,1989,Plywood,0.0,1157.0,882,2,3,1,1,454.0,0,Normal,277000.0
20,RL,8250,Inside,1Fam,7,1964,1964,HdBoard,0.0,1092.0,0,1,3,1,0,504.0,0,Normal,145000.0
